name,size,solver,solve time,error,run date
x2015_09_10_16_51_28_713_1059609.smt_in,1,xmt,51.7440,,2026-05-22T16:48:51.304182
x2015_09_10_16_51_30_657_1120717.smt_in,1,z3,112.2168,"stderr : (error ""out of memory"")",2026-05-22T16:50:43.522524
x2015_09_10_16_51_30_657_1120717.smt_in,1,xmt,117.6425,,2026-05-22T16:52:41.165415
x2015_09_10_16_51_36_581_1325514.smt_in,1,z3,42.6718,"stderr : (error ""out of memory"")",2026-05-22T16:53:23.838567
x2015_09_10_16_51_36_581_1325514.smt_in,1,xmt,44.4857,,2026-05-22T16:54:08.324664
x2015_09_10_16_51_38_789_1067143.smt_in,1,z3,47.5681,"stderr : (error ""out of memory"")",2026-05-22T16:54:55.895459
x2015_09_10_16_51_38_789_1067143.smt_in,1,xmt,45.1204,,2026-05-22T16:55:41.016411
x2015_09_10_16_52_21_307_1193317.smt_in,1,z3,59.4897,"stderr : (error ""out of memory"")",2026-05-22T16:56:40.507448
x2015_09_10_16_52_21_307_1193317.smt_in,1,xmt,54.3238,,2026-05-22T16:57:34.831679
x2015_09_10_16_52_22_464_1195276.smt_in,1,z3,89.7808,,2026-05-22T16:59:04.623935
x2015_09_10_16_52_22_464_1195276.smt_in,1,xmt,107.1690,,2026-05-22T17:00:51.793406
x2015_09_10_16_52_30_634_1118207.smt_in,1,z3,137.1442,,2026-05-22T17:03:08.948438
x2015_09_10_16_52_30_634_1118207.smt_in,1,xmt,118.7382,,2026-05-22T17:05:07.687150
x2015_09_10_16_52_41_395_1007677.smt_in,1,z3,28.6299,"stderr : (error ""out of memory"")",2026-05-22T17:05:36.318429
x2015_09_10_16_52_41_395_1007677.smt_in,1,xmt,28.6947,,2026-05-22T17:06:05.013573
x2015_09_10_16_52_43_556_1010148.smt_in,1,z3,0.0399,,2026-05-22T17:06:05.058215
x2015_09_10_16_52_43_556_1010148.smt_in,1,xmt,0.0654,,2026-05-22T17:06:05.124034
x2015_09_10_16_52_55_862_1022770.smt_in,1,z3,300.0531,Time out,2026-05-22T17:11:05.177825
x2015_09_10_16_52_55_862_1022770.smt_in,1,xmt,300.2741,Time out,2026-05-22T17:16:05.452477
x2015_09_10_16_54_04_691_1226689.smt_in,1,z3,0.0422,,2026-05-22T17:16:05.495948
x2015_09_10_16_54_04_691_1226689.smt_in,1,xmt,0.0646,,2026-05-22T17:16:05.561008
x2015_09_10_16_54_22_637_1238241.smt_in,1,z3,0.0359,,2026-05-22T17:16:05.598260
x2015_09_10_16_54_22_637_1238241.smt_in,1,xmt,0.0589,,2026-05-22T17:16:05.657621
x2015_09_10_16_54_56_255_1259201.smt_in,1,z3,0.0356,,2026-05-22T17:16:05.695259
x2015_09_10_16_54_56_255_1259201.smt_in,1,xmt,0.0552,,2026-05-22T17:16:05.750936
x2015_09_10_16_55_07_530_1265987.smt_in,1,z3,0.0366,,2026-05-22T17:16:05.788342
x2015_09_10_16_55_07_530_1265987.smt_in,1,xmt,0.0627,,2026-05-22T17:16:05.851561
x2015_09_10_16_55_26_712_1280106.smt_in,1,z3,0.0422,,2026-05-22T17:16:05.896324
x2015_09_10_16_55_26_712_1280106.smt_in,1,xmt,0.0577,,2026-05-22T17:16:05.954578
x2015_09_10_16_58_31_280_1828030.smt_in,1,z3,0.0271,,2026-05-22T17:16:05.982587
x2015_09_10_16_58_31_280_1828030.smt_in,1,xmt,0.0565,,2026-05-22T17:16:06.039494
x2015_09_10_16_58_32_351_1829104.smt_in,1,z3,0.0269,,2026-05-22T17:16:06.067157
x2015_09_10_16_58_32_351_1829104.smt_in,1,xmt,0.0718,,2026-05-22T17:16:06.139312
x2015_09_10_16_58_32_500_1214543.smt_in,1,z3,95.7501,"stderr : (error ""out of memory"")",2026-05-22T17:17:41.891424
x2015_09_10_16_58_32_500_1214543.smt_in,1,xmt,97.7513,,2026-05-22T17:19:19.644013
x2015_09_10_16_59_19_313_1605507.smt_in,1,z3,95.1522,"stderr : (error ""out of memory"")",2026-05-22T17:20:54.797633
x2015_09_10_16_59_19_313_1605507.smt_in,1,xmt,97.1439,,2026-05-22T17:22:31.941923
x2015_09_10_17_00_02_137_1325235.smt_in,1,z3,105.9173,"stderr : (error ""out of memory"")",2026-05-22T17:24:17.869936
