name,size,solver,solve time,error,run date
int_assert_no_eq,147,z3,0.2016,,2026-05-20T12:41:12.330960
int_assert_no_eq,176,z3,5.1194,,2026-05-20T12:41:17.932649
int_assert_no_eq,211,z3,20.0532,Time out,2026-05-20T12:41:38.476048
datatype_assert_no_eq,50,z3,0.1218,,2026-05-20T12:41:38.598273
datatype_assert_no_eq,60,z3,0.3671,,2026-05-20T12:41:39.446998
datatype_assert_no_eq,72,z3,0.7090,,2026-05-20T12:41:40.676698
datatype_assert_no_eq,86,z3,0.8510,,2026-05-20T12:41:41.993536
datatype_assert_no_eq,103,z3,2.8131,,2026-05-20T12:41:45.289238
datatype_assert_no_eq,123,z3,2.2961,,2026-05-20T12:41:48.069617
datatype_assert_no_eq,147,z3,0.3754,,2026-05-20T12:41:48.956263
datatype_assert_no_eq,176,z3,0.7966,,2026-05-20T12:41:50.247690
datatype_assert_no_eq,211,z3,0.7479,,2026-05-20T12:41:51.486806
datatype_assert_no_eq,253,z3,3.9982,,2026-05-20T12:41:55.949338
datatype_assert_no_eq,303,z3,20.0606,Time out,2026-05-20T12:42:16.491584

int_define,50,xmt,0.0193,,2026-05-20T14:19:00.833663
int_define,60,xmt,0.0230,,2026-05-20T14:19:01.965942
int_define,72,xmt,0.0250,,2026-05-20T14:19:02.496872
int_define,86,xmt,0.0257,,2026-05-20T14:19:03.023786
int_define,103,xmt,0.0286,,2026-05-20T14:19:03.579875
int_define,123,xmt,0.0264,,2026-05-20T14:19:04.130549
int_define,147,xmt,0.0340,,2026-05-20T14:19:04.670366
int_define,176,xmt,0.0366,,2026-05-20T14:19:05.225154
int_define,211,xmt,0.0317,,2026-05-20T14:19:05.786538
int_define,253,xmt,0.0414,,2026-05-20T14:19:06.327396
int_define,303,xmt,0.0423,,2026-05-20T14:19:06.910028
int_define,363,xmt,0.0403,,2026-05-20T14:19:07.495646
int_define,435,xmt,0.0603,,2026-05-20T14:19:08.070959
int_define,522,xmt,0.0685,,2026-05-20T14:19:08.655026
int_define,626,xmt,0.0761,,2026-05-20T14:19:09.254760
int_define,751,xmt,0.1060,,2026-05-20T14:19:09.918474
int_define,901,xmt,0.1423,,2026-05-20T14:19:10.548148
datatype_define,50,xmt,0.0297,,2026-05-20T14:19:11.109640
datatype_define,60,xmt,0.0407,,2026-05-20T14:19:11.673400
datatype_define,72,xmt,0.0349,,2026-05-20T14:19:12.240061
datatype_define,86,xmt,0.0411,,2026-05-20T14:19:12.825360
datatype_define,103,xmt,0.0377,,2026-05-20T14:19:13.376415
datatype_define,123,xmt,0.0281,,2026-05-20T14:19:13.915506
datatype_define,147,xmt,0.0401,,2026-05-20T14:19:14.454657
datatype_define,176,xmt,0.0444,,2026-05-20T14:19:15.058908
datatype_define,211,xmt,0.0401,,2026-05-20T14:19:15.669786
datatype_define,253,xmt,0.0401,,2026-05-20T14:19:16.225874
datatype_define,303,xmt,0.0406,,2026-05-20T14:19:16.774626
