name,size,solver,solve time,error,run date
int_define_no_eq,626,z3,0.9070,,2026-05-21T10:16:56.243006
int_define_no_eq,751,z3,95.2480,,2026-05-21T10:18:32.031387
int_define_no_eq,901,z3,300.2234,Time out,2026-05-21T10:23:32.787765
datatype_define_no_eq,50,z3,0.0418,,2026-05-21T10:23:32.841639
datatype_define_no_eq,60,z3,0.1907,,2026-05-21T10:23:33.519821
datatype_define_no_eq,72,z3,0.2647,,2026-05-21T10:23:34.287222
datatype_define_no_eq,86,z3,0.2480,,2026-05-21T10:23:35.046460
datatype_define_no_eq,103,z3,1.3146,,2026-05-21T10:23:36.911757
datatype_define_no_eq,123,z3,0.4910,,2026-05-21T10:23:37.900362
datatype_define_no_eq,147,z3,0.3882,,2026-05-21T10:23:38.787852
datatype_define_no_eq,176,z3,1.6271,,2026-05-21T10:23:40.930672
datatype_define_no_eq,211,z3,2.9630,,2026-05-21T10:23:44.403523
datatype_define_no_eq,253,z3,1.0557,,2026-05-21T10:23:45.992969
datatype_define_no_eq,303,z3,7.2966,,2026-05-21T10:23:53.765843
datatype_define_no_eq,363,z3,0.2097,,2026-05-21T10:23:54.475852
datatype_define_no_eq,435,z3,25.8993,,2026-05-21T10:24:20.884423
datatype_define_no_eq,522,z3,75.9766,,2026-05-21T10:25:37.373339
datatype_define_no_eq,626,z3,300.1670,Time out,2026-05-21T10:30:38.052899
int_assert_no_eq,50,z3,0.0565,,2026-05-21T10:30:38.110107
int_assert_no_eq,60,z3,0.3422,,2026-05-21T10:30:38.940670
int_assert_no_eq,72,z3,0.8989,,2026-05-21T10:30:40.341152
int_assert_no_eq,86,z3,0.9381,,2026-05-21T10:30:41.788474
int_assert_no_eq,103,z3,2.5093,,2026-05-21T10:30:44.806818
int_assert_no_eq,123,z3,3.0001,,2026-05-21T10:30:48.303479
int_assert_no_eq,147,z3,0.3732,,2026-05-21T10:30:49.168095
int_assert_no_eq,176,z3,0.5449,,2026-05-21T10:30:50.213415
int_assert_no_eq,211,z3,2.9861,,2026-05-21T10:30:53.721804
int_assert_no_eq,253,z3,0.7367,,2026-05-21T10:30:55.010871
int_assert_no_eq,303,z3,10.8537,,2026-05-21T10:31:06.361735
int_assert_no_eq,363,z3,41.3566,,2026-05-21T10:31:48.217729
int_assert_no_eq,435,z3,1.6304,,2026-05-21T10:31:50.360369
int_assert_no_eq,522,z3,17.0754,,2026-05-21T10:32:07.990568
int_assert_no_eq,626,z3,75.9299,,2026-05-21T10:33:24.457071
